nombre,categoria,descripcion,precio,imagenes,medida,NOMBRE FOTO
"""Caño PVC 40 aprobado 3.2mm Nicoll ""","""PVC""","""Caño pvc 40 x 3.2 mm 3 metros de largo.
Caño de PVC rígido aprobado, fabricado bajo normas de calidad para instalaciones sanitarias y desagües. 
Gracias a su espesor de 3.2 mm, ofrece alta resistencia mecánica, durabilidad y excelente comportamiento frente a la humedad y agentes químicos.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm,160mm,200mm) Y ACCESORIOS PARA SU INSTALACIÓN!
TAMBIÉN TENEMOS LINEA DE CAÑOS PARA SANEAMIENTO TODAS LAS MEDIDAS 250mm, 315mm Y MAS....
 Y SUS ACCESORIOS  (REDI MARRÓN).

✔ Ideal para instalaciones domiciliarias e industriales
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-mts""","""FOTO 1.jpg"""
"""Caño PVC 50 aprobado 3.2mm Nicoll ""","""PVC""","""Caño pvc 50 x 3.2 mm 3 metros de largo.
Caño de PVC rígido aprobado, fabricado bajo normas de calidad para instalaciones sanitarias y desagües. 
Gracias a su espesor de 3.2 mm, ofrece alta resistencia mecánica, durabilidad y excelente comportamiento frente a la humedad y agentes químicos.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm,160mm,200mm) Y ACCESORIOS PARA SU INSTALACIÓN!
TAMBIÉN TENEMOS LINEA PARA SANEAMIENTO TODAS LAS MEDIDAS 250mm, 315mm Y MAS....
 Y SUS ACCESORIOS  (REDI MARRÓN).

✔ Ideal para instalaciones domiciliarias e industriales
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-mts""","""FOTO 1.jpg"""
"""Caño PVC 63 aprobado 3.2mm Nicoll""","""PVC""","""Caño pvc 63 x 3.2 mm 3 metros de largo.
Caño de PVC rígido aprobado, fabricado bajo normas de calidad para instalaciones sanitarias y desagües. 
Gracias a su espesor de 3.2 mm, ofrece alta resistencia mecánica, durabilidad y excelente comportamiento frente a la humedad y agentes químicos.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm,160mm,200mm) Y ACCESORIOS PARA SU INSTALACIÓN!
TAMBIÉN TENEMOS LINEA PARA SANEAMIENTO TODAS LAS MEDIDAS 250mm, 315mm Y MAS....
 Y SUS ACCESORIOS  (REDI MARRÓN).

✔ Ideal para instalaciones domiciliarias e industriales
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-mts""","""FOTO 1.jpg"""
"""Caño PVC 110 aprobado 3.2mm Nicoll""","""PVC""","""Caño pvc 110 x 3.2 mm 3 metros de largo.
Caño de PVC rígido aprobado, fabricado bajo normas de calidad para instalaciones sanitarias y desagües. 
Gracias a su espesor de 3.2 mm, ofrece alta resistencia mecánica, durabilidad y excelente comportamiento frente a la humedad y agentes químicos.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm,160mm,200mm) Y ACCESORIOS PARA SU INSTALACIÓN!
TAMBIÉN TENEMOS LINEA PARA SANEAMIENTO TODAS LAS MEDIDAS 250mm, 315mm Y MAS....
 Y SUS ACCESORIOS  (REDI MARRÓN).

✔ Ideal para instalaciones domiciliarias e industriales
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""""""","""NULL""","""1""","""3-mts""","""FOTO 1.jpg"""
"""Caño PVC 160 aprobado 3.2mm Nicoll ""","""PVC""","""Caño pvc 160 x 3.2 mm 3 metros de largo.
Caño de PVC rígido aprobado, fabricado bajo normas de calidad para instalaciones sanitarias y desagües. 
Gracias a su espesor de 3.2 mm, ofrece alta resistencia mecánica, durabilidad y excelente comportamiento frente a la humedad y agentes químicos.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm,160mm,200mm) Y ACCESORIOS PARA SU INSTALACIÓN!
TAMBIÉN TENEMOS LINEA PARA SANEAMIENTO TODAS LAS MEDIDAS 250mm, 315mm Y MAS....
 Y SUS ACCESORIOS  (REDI MARRÓN).

✔ Ideal para instalaciones domiciliarias e industriales
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-mts""","""FOTO 2.jpg"""
"""Caño PVC 200 aprobado 3.2mm Nicoll ""","""PVC""","""Caño pvc 200 x 3.2 mm 3 metros de largo.
Caño de PVC rígido aprobado, fabricado bajo normas de calidad para instalaciones sanitarias y desagües. 
Gracias a su espesor de 3.2 mm, ofrece alta resistencia mecánica, durabilidad y excelente comportamiento frente a la humedad y agentes químicos.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm,160mm,200mm) Y ACCESORIOS PARA SU INSTALACIÓN!
TAMBIÉN TENEMOS LINEA PARA SANEAMIENTO TODAS LAS MEDIDAS 250mm, 315mm Y MAS....
 Y SUS ACCESORIOS  (REDI MARRÓN).

✔ Ideal para instalaciones domiciliarias e industriales
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-mts""","""FOTO 2.jpg"""
"""Caño PVC 40 liviano1.8mm Nicoll ""","""PVC""","""Caño pvc 40 x 1.8mm 3 metros de largo.
Caño de PVC liviano, indicado para instalaciones sanitarias de uso doméstico y desagües internos, donde no se requiere alta carga estructural. Fabricado con espesor de 1.8 mm, es liviano, fácil de manipular y de rápida instalación, manteniendo buena resistencia frente a la humedad y la corrosión.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm) Y ACCESORIOS PARA SU INSTALACIÓN!

✔ Ideal para instalaciones domiciliarias
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-mts""","""FOTO 3.jpg"""
"""Caño PVC 50 liviano1.8mm Nicoll""","""PVC""","""Caño pvc 50 x 1.8mm 3 metros de largo.
Caño de PVC liviano, indicado para instalaciones sanitarias de uso doméstico y desagües internos, donde no se requiere alta carga estructural. Fabricado con espesor de 1.8 mm, es liviano, fácil de manipular y de rápida instalación, manteniendo buena resistencia frente a la humedad y la corrosión.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm) Y ACCESORIOS PARA SU INSTALACIÓN!

✔ Ideal para instalaciones domiciliarias
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-mts""","""FOTO 3.jpg"""
"""Caño PVC 63 liviano1.8mm Nicoll""","""PVC""","""Caño pvc 63 x 1.8mm 3 metros de largo.
Caño de PVC liviano, indicado para instalaciones sanitarias de uso doméstico y desagües internos, donde no se requiere alta carga estructural. Fabricado con espesor de 1.8 mm, es liviano, fácil de manipular y de rápida instalación, manteniendo buena resistencia frente a la humedad y la corrosión.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm) Y ACCESORIOS PARA SU INSTALACIÓN!

✔ Ideal para instalaciones domiciliarias
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-mts""","""FOTO 3.jpg"""
"""Caño PVC 100 liviano1.8mm Nicoll ""","""PVC""","""Caño pvc 100 x 1.8mm 3 o 6 metros de largo.
Caño de PVC liviano, indicado para instalaciones sanitarias de uso doméstico y desagües internos, donde no se requiere alta carga estructural. Fabricado con espesor de 1.8 mm, es liviano, fácil de manipular y de rápida instalación, manteniendo buena resistencia frente a la humedad y la corrosión.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm) Y ACCESORIOS PARA SU INSTALACIÓN!

✔ Ideal para instalaciones domiciliarias
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-o-6-mts""","""FOTO 4.webp"""
